Account, Num Uppercase Chars Mean,Total Characters STD,Flesch Reading Ease Mean, Count Blanks STD,Coleman Liau Index Mean, Flesch Kincaid Grade Level STD,Smog Index Mean,Count Numbers Mean, Count Punctuations STD, Automated Readability Index STD,Count Special Characters STD,Linsear Write STD, Count Sentences STD, Count Unique Words STD,Flesch Kincaid Grade Level Mean, Num Uppercase Words Mean, Num lowercase Words Mean,Count Numbers STD,Count Sentences Mean,Gunning Fog STD,Linsear Write Mean,Num Lowercase Chars Mean, Num Uppercase Chars STD, Flesch Reading Ease STD, Average Words Length STD,Class
1598985114,2.866666667,24.15634262,17.45052381,4.109609335,20.85204156,2.412928143,6.287307511,0.466666667,2.118699811,10.84985994,2.118699811,0.953294665,0.4,4.109609335,0.666666667,0.4,4.8,1.087300429,0.2,9.761900115,0.867594998,26.93333333,2.21710522,36.42526765,3.11471359,1
1603988323,5.5,28.60699215,27.79928571,5.3,16.35828889,8.013114251,9.300647565,1.8,3.858756276,6.316629486,3.858756276,0.667115821,2.690724809,5.362835071,4.7,1,6.5,1.4,2.6,8.793584266,1.190555556,36.1,4.055859958,57.19247017,2.322376723,1
1604160445,3.923076923,20.02069935,23.29241758,3.360050718,16.56549451,3.873747173,8.327007923,0.769230769,2.527950265,5.840777586,2.527950265,0.398807915,0.842650088,3.315732625,1.384615385,0.692307692,7.153846154,1.249852062,0.461538462,5.103880077,0.825946276,35.69230769,3.496405593,42.9174736,1.400005127,1
1605128107,8.8,18.95151709,71.94626376,4.085339643,25.38506832,2.891366459,10.44319682,1.6,2.147091055,4.192581693,2.147091055,0.374365518,1.004987562,3.584689666,3.8,1.3,9.5,0.916515139,1.3,4.140177648,0.943405104,48,3.059411708,30.36955587,1.53445348,1
1607335778,3.35,40.4139518,63.38131246,6.82989751,16.98766846,3.800986714,5.532513359,0.8,3.677974986,6.155868027,3.677974986,0.460706041,1.2489996,6.513639536,1.05,0.95,8.35,1.2489996,1.2,5.936962529,0.877716574,37.95,3.395217224,52.4268423,2.349066792,1
1607411708,4.2,25.9237343,40.728625,4.65295605,7.455963636,4.695742753,5.41419851,0.3,3.106444913,5.557481614,3.106444913,0.366208203,3.072458299,4.318564576,-1.5,1.4,5.5,0.9,1.6,6.273813891,0.380909091,27.9,3.919183588,68.76623818,0.996142341,1
1613091608,12.625,38.55029183,24.54884289,7.060494737,20.24807133,5.211072197,8.135922094,0.6875,2.428468846,7.305011744,2.428468846,0.5719334,0.788095013,6.487668591,0.96875,2.6875,8.0625,1.260890063,0.4375,5.525128733,0.726892697,44.875,17.60282293,53.92136028,1.887518219,1
1616084173,3.5625,31.77533438,61.920773,7.22942933,13.39856828,2.858478343,7.67881707,0.9375,2.922000332,3.246572337,2.922000332,0.32450684,1.80033634,6.102957787,1.21875,0.65625,13.75,1.390537216,1.59375,3.254882016,0.847403168,63.5,3.081573259,50.47033172,0.955490408,1
1617515642,14.28571429,29.14425767,77.26916571,7.661192959,18.38478588,4.091429569,8.05473912,0.285714286,3.529034093,5.575481811,3.529034093,0.366213918,1.985919825,6.409893501,0.214285714,3.5,8.714285714,0.589015089,1.642857143,4.194306173,0.685438154,47.21428571,23.20538291,56.23411836,2.327691126,1
1620466530,4.5,37.81843962,57.43846664,7.462405778,24.4260727,4.387482194,7.683812034,1.125,2.260392665,6.663385394,2.260392665,0.586296168,1.620185175,7.0167211,-0.5,0.625,9.875,1.536025716,1,7.158413467,0.818196387,48.375,5.979130372,64.01525226,2.538553959,1
1622903894,3,28.10339873,43.4687995,4.283332672,19.2662458,2.470230924,6.562547656,0.785714286,2.868726518,7.159251692,2.868726518,0.742942865,1.386891988,4.043765673,1.571428571,0.714285714,7.071428571,1.319013237,0.928571429,5.771306515,1.015085778,34.21428571,2.699206233,45.59414613,1.956754501,1
1623348722,1.125,34.13791823,59.31025926,6.953458559,16.95078918,6.298561344,8.144828275,0.3125,1.011168105,8.934702741,1.011168105,0.74084329,0.704339229,6.443186202,4.625,0.1875,7.625,0.982264603,1.0625,10.03027225,1.095485608,38.09375,1.165922382,51.52523612,2.177201176,1
1624512505,3.3,34.47966792,67.9825448,5.3223585,15.54169556,7.350340128,5.574291921,0.7,2.966479395,8.350612882,2.966479395,0.741338475,1.321930407,5.12249939,2.85,0.45,5.9,1.452583905,1.45,9.207425545,0.957357504,28.9,3.421987726,60.29630758,2.877661784,1
1630615782,6.3,32.36274865,60.72507792,4.907901792,21.05956818,3.63868108,6.054780372,0.8,12.65938387,7.269606062,12.65938387,0.602903437,10.56882207,5.150485414,-0.6,1,6.85,1.122497216,3,6.150139063,0.592462121,29.15,7.190966555,60.12339834,3.112474936,1
